系統,權限,功能 / 頁面,測試功能,測試情境,操作步驟,期望結果,驗證結果
oss,onead_admin,合約內容,新增合約,admin 新增合約及費用設定,"進入合約價格設定頁面
新增代理商 / 直客 / 媒體合約,填妥各欄位
進入費用設定,新增格式 insteam / richmedia / QT 內容
確認合約列表及價格內容",合約列表及格式列表正確顯示所修改的合約及價格內容,
,,,編輯合約,admin 修改媒體合約及費用設定,"進入合約價格設定頁面
修改代理商 / 直客 / 媒體合約內容
進入費用設定,新增格式 insteam / richmedia / QT 內容
確認合約列表及價格內容",合約列表及格式列表正確顯示所修改的合約及價格內容,
superdsp,client users,,檢視合約,users 檢視合約內容,"進入 superdsp
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",正確顯示該廣告主下所有合約及格式價格內容,
,,,,users 檢視修改後的合約內容,"進入 superdsp
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",正確顯示該廣告主下所有合約及格式價格內容,
,media users,,,users 檢視合約內容,"進入 superdsp
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",正確顯示該廣告主下所有合約及格式價格內容,
,,,,users 檢視修改後的合約內容,"進入 superdsp
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",正確顯示該廣告主下所有合約及格式價格內容,
,agency users,,,users 檢視合約內容,"進入 superdsp 選則一廣告主
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",正確顯示該廣告主下所有合約及格式價格內容,
,,,,agency 檢視修改後的合約內容,"進入 superdsp 選擇已被修改合約的廣告主
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",正確顯示該廣告主下所有合約及格式價格內容,
,agency_admin,,檢視合約 - 合約歸屬,agency admin 檢視合約內容,"進入 superdsp 
點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",任一 agency admin 正確顯示所屬機構下的所有廣告主及其合約,
,"agency_admin
agency users",,,不同 agency 權限確認合約內容,"admin 將廣告主Ａ的相關權限賦予 agency A
agency A 點擊右上頭像
點擊檢視合約
確認合約列表及價格內容",agency A 可以正確檢視廣告主Ａ的合約及格式價格內容,
,,,,,"agency B 未被賦予廣告主 Ａ的相關權限
agency B 點擊右上頭像
點擊檢視合約
確認合約列表及價格內容","agency B 無法擁有廣告主Ａ相關權限,且合約內容也不包含廣告主Ａ其相關內容",
superdsp,users,素材管理,合約、廣告品類及格式,驗證合約及格式關聯,"agency / client / media 點擊新增素材包
彈出新增視窗
確認合約、廣告品類及格式種類",根據合約內容顯示出正確的廣告品類及可以新增的格式種類,
,,,新增、修改及複製素材包,新增素材包(superdsp),"agency / client / media 點擊新增素材包
彈出新增視窗
填妥所有必填欄位並儲存
確認素材包列表","成功新增後,彈出素材包已建立及正確顯示素材預覽
素材包列表正確顯示該新增的素材包內容 (任一必填項目未填妥不得成功新增）",
,,,,新增素材包 (superdsp - > studio),"agency / client / media 點擊前往 Studio 建立素材按鈕
彈出“將以開新視窗方式，帶您前往 STUDIO”,選擇“是”
選擇一廣告格式
填妥所有必填欄位並儲存
確認素材包列表","開啟新分頁並進入 studio
成功新增後,彈出素材包已建立提示訊息及正確顯示素材預覽
素材包列表正確顯示該新增的素材包內容 (任一必填項目未填妥不得成功新增）",
,,,,修改素材包 (superdsp),"agency / client / media 編輯 superdsp 端的任一素材包
編輯名稱 / video / banner / url 並儲存
確認素材包列表","成功修改後,彈出素材包已更新及正確顯示素材預覽
素材包列表正確顯示該更新的素材包內容 (任一必填項目未填妥不得成功修改）",
,,,,修改素材包 (superdsp - > studio),"agency / client / media 編輯 studio 端的任一素材包
彈出“將以開新視窗方式，帶您前往 STUDIO”,選擇“是”
編輯名稱 / video / banner / url 並儲存
確認素材包列表","開啟新分頁並進入 studio
成功修改後,素材包列表正確顯示該更新的素材包內容 (任一必填項目未填妥不得成功修改）",
,,,,複製素材包 (superdsp),"agency / client / media 複製任一素材包
確認素材包列表","素材包成功複製並顯示於素材包列表,且命名為 素材包名稱_Copy",
,,,,複製素材包 (superdsp - > studio),"agency / client / media 複製 studio 端的任一素材包
彈出“將以開新視窗方式，帶您前往 STUDIO”,選擇“是”
按下確定按鈕
確認素材包列表","開啟新分頁並進入 studio
彈出新素材包命名視窗, 名稱預設為 “素材包名稱_Copy” , 且該筆素材包同步顯示於 Superdsp 素材包列表",
,,,,停用素材包 - 未綁定(superdsp),"agency / client / media 編輯 superdsp 端的任一素材包
點擊編輯,再點擊停用
確認素材包列表","成功停用素材包,該素材包顯示於 ”停用“的素材包列表",
,,,,停用素材包 - 已綁定(superdsp),"agency / client / media 編輯 superdsp 端的任一素材包
點擊編輯,再點擊停用
確認素材包列表",無法停用該素材包,
,,,,啟用素材包,"agency / client / media 編輯 superdsp 端的任一素材包
點擊編輯,再點擊啟用
確認素材包列表",該素材包顯示於 ”啟用“的素材包列表,
,,,素材包預覽,預覽素材包(superdsp),"agency / client / media 點擊預覽功能按鈕
確認功能","右邊彈出預覽頁面,且該頁面中的所有功能(預覽連結、刷新) 及預覽顯示皆正確使用及顯示",
,,,,預覽素材包(superdsp - > studio),"agency / client / media 複製 studio 端的任一素材包
彈出“將以開新視窗方式，帶您前往 STUDIO”,選擇“是”
確認功能","開啟新分頁並進入 studio
右邊彈出預覽頁面,且該頁面中的所有功能(重新整理、出血範圍、另開視窗、QR Code) 及預覽顯示皆正確使用及顯示",
,,,,,"agency / client / media 複製 studio 端的任一素材包
彈出“將以開新視窗方式，帶您前往 STUDIO”,選擇“否”
確認功能",畫面停留在 Superdsp,
studio,users,素材管理,新增、修改及複製素材包,新增素材包,"agency / client / media 點擊前往 Studio 建立素材按鈕
彈出“將以開新視窗方式，帶您前往 STUDIO”,選擇“否”
確認功能",畫面停留在 Superdsp,
,,,,,"agency / client / media 點擊建立素材按鈕
選擇一廣告格式
填妥所有必填欄位並儲存
確認素材包列表","成功新增後,彈出素材包已建立提示訊息及正確顯示素材預覽
素材包列表正確顯示該新增的素材包內容 (任一必填項目未填妥不得成功新增）",
,,,,修改素材包,"agency / client / media 點擊任一素材包編輯
編輯名稱 / video / banner / url 並儲存
確認素材包列表","成功修改後,素材包列表正確顯示該更新的素材包內容 (任一必填項目未填妥不得成功修改）",
